Project ID,needs_metadata,not_sequenced
(no project),0,2
2022 Fall CPER,87,0
2022 Fall CPER Control,27,3
2022 Fall CPER Extra,15,0
2022 Fall CPER RH,9,0
2022 Fall Greenhouse,8,0
2024 Fall Big Spring Texas,0,13
2024 Spring SGRC,0,8
2024 Summer,0,68
ARDEC Pilot Study,18,8
Algae Bloom,0,12
BACS,220,54
Fall Plant Circle,211,173
Fall Plants & Soil,288,18
Filter Sterilization,6,0
Flux,0,304
Fragmented Landscape,623,0
IMPROVE Fungi,862,194
Ice-Nucleating Particles,51,100
Optimization Tests,0,43
Spring Chemistry,0,120
Spring Plant Circle,120,240
Spring Plants & Soil,17,1
Spring SASS/Polycarbonate Top/Bottom,138,166
Spring SKC,38,2
Spring Sass/VIVAS,120,39
Two Towers,68,0
